BodyName	BaseAssetKind	CloudAssetKind	NormalAssetKind	AtmosphereStrength	AtmosphereExtent	CloudOpacity	ReliefStrength	NormalStrength
pyro1	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	NONE	0.13	1.04	0.16	0.1	0
pyro2	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.04	0	0.1	0.16
pyro3	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.13	1.04	0.16	0.1	0.16
pyro4	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	NONE	0.075	1.03	0	0.1	0
pyro5	CURRENT_LIVE_DATA_P4K_DERIVED_GAS_GIANT_PRESENTATION	NONE	NONE	0.12	1.045	0	0.05	0
pyro5a	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.03	0	0.1	0.16
pyro5b	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.03	0	0.1	0.16
pyro5c	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.03	0	0.1	0.16
pyro5d	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.03	0	0.1	0.16
pyro5e	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.03	0	0.1	0.16
pyro5f	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.03	0	0.1	0.16
pyro6	CURRENT_LIVE_DATA_P4K_DERIVED_TERRAIN_PRESENTATION	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.075	1.04	0	0.04	0.04
