BodyName	BaseAssetKind	CloudAssetKind	NormalAssetKind	AtmosphereStrength	AtmosphereExtent	CloudOpacity	ReliefStrength	NormalStrength
Aberdeen	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Arc Corp	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.16	1.04	0.2	0.14	0.22
Ariel	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Calliope	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Cellin	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Clio	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Crusader	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.16	1.04	0.2	0.14	0.22
Daymar	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Euterpe	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Hurston	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.16	1.04	0.2	0.14	0.22
Ita	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Lyria	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Magda	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
Microtech	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	CURRENT_LIVE_GLOBAL_CLOUD_COVERAGE	NONE	0.16	1.04	0.2	0.14	0
Wala	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	NONE	0.065	1.024	0	0.14	0
Yela	CURRENT_LIVE_DATA_P4K_STARMAP_DIFF	NONE	CURRENT_LIVE_GLOBAL_DDN_NORMAL	0.065	1.024	0	0.14	0.22
