BodyName	Container	Strategy	Source	ColorChart	Status
Aberdeen	stanton1b	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton1b/stanton1b_global_starmap_diff.dds	-	OK
Arc Corp	stanton3	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton3/stanton3_starmap_diff.dds	-	OK
Ariel	stanton1a	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton1a/stanton1a_global_starmap_diff.dds	-	OK
Calliope	stanton4a	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton4a/stanton4a_global_starmap_diff.dds	-	OK
Cellin	stanton2a	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton2a/stanton2a_global_starmap_diff.dds	-	OK
Clio	stanton4b	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton4b/stanton4b_global_starmap_diff.dds	-	OK
Crusader	stanton2	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton2/stanton2_global_starmap_diff.dds	-	OK
Daymar	stanton2b	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton2b/stanton2b_global_starmap_diff.dds	-	OK
Euterpe	stanton4c	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton4c/stanton4c_global_starmap_diff.dds	-	OK
Hurston	stanton1	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton1/stanton1_global_starmap_diff.dds	-	OK
Ita	stanton1d	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton1d/stanton1d_global_starmap_diff.dds	-	OK
Lyria	stanton3a	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton3a/stanton3a_global_starmap_diff.dds	-	OK
Magda	stanton1c	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton1c/stanton1c_global_starmap_diff.dds	-	OK
Microtech	stanton4	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton4/stanton4_starmap_diff.dds	-	OK
Wala	stanton3b	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton3b/stanton3b_global_starmap_diff.dds	-	OK
Yela	stanton2c	DIRECT_STARMAP_DIFF	Data/Textures/planets/global/stanton/stanton2c/stanton2c_global_starmap_diff.dds	-	OK
